tensor(2.3307, grad_fn=<DivBackward0>)
tensor(1.8076, grad_fn=<DivBackward0>)
tensor(2.3289, grad_fn=<DivBackward0>)
tensor(2.0893, grad_fn=<DivBackward0>)
tensor(2.4739, grad_fn=<DivBackward0>)
tensor(1.7792, grad_fn=<DivBackward0>)
tensor(2.2864, grad_fn=<DivBackward0>)
tensor(1.6237, grad_fn=<DivBackward0>)
tensor(2.6320, grad_fn=<DivBackward0>)
tensor(2.0441, grad_fn=<DivBackward0>)
tensor(3.7764, grad_fn=<DivBackward0>)
tensor(2.1048, grad_fn=<DivBackward0>)
tensor(2.5354, grad_fn=<DivBackward0>)
tensor(1.9537, grad_fn=<DivBackward0>)
tensor(3.0081, grad_fn=<DivBackward0>)
tensor(1.6479, grad_fn=<DivBackward0>)
tensor(3.2808, grad_fn=<DivBackward0>)
tensor(1.7628, grad_fn=<DivBackward0>)
tensor(2.9795, grad_fn=<DivBackward0>)
tensor(1.9067, grad_fn=<DivBackward0>)
tensor(2.9519, grad_fn=<DivBackward0>)
tensor(1.8335, grad_fn=<DivBackward0>)
tensor(3.0631, grad_fn=<DivBackward0>)
tensor(1.7064, grad_fn=<DivBackward0>)
tensor(2.5641, grad_fn=<DivBackward0>)
tensor(1.6299, grad_fn=<DivBackward0>)
tensor(2.7771, grad_fn=<DivBackward0>)
tensor(1.9498, grad_fn=<DivBackward0>)
tensor(2.2052, grad_fn=<DivBackward0>)
tensor(1.9794, grad_fn=<DivBackward0>)
tensor(2.5241, grad_fn=<DivBackward0>)
tensor(2.2615, grad_fn=<DivBackward0>)
tensor(2.0222, grad_fn=<DivBackward0>)
tensor(2.0977, grad_fn=<DivBackward0>)
tensor(2.0431, grad_fn=<DivBackward0>)
tensor(1.9765, grad_fn=<DivBackward0>)
tensor(2.0567, grad_fn=<DivBackward0>)
tensor(2.0429, grad_fn=<DivBackward0>)
tensor(1.8995, grad_fn=<DivBackward0>)
tensor(2.2205, grad_fn=<DivBackward0>)
tensor(2.0498, grad_fn=<DivBackward0>)
tensor(2.1265, grad_fn=<DivBackward0>)
tensor(2.4234, grad_fn=<DivBackward0>)
tensor(2.3032, grad_fn=<DivBackward0>)
tensor(2.3652, grad_fn=<DivBackward0>)
tensor(1.8658, grad_fn=<DivBackward0>)
tensor(1.9539, grad_fn=<DivBackward0>)
tensor(1.8044, grad_fn=<DivBackward0>)
tensor(2.0862, grad_fn=<DivBackward0>)
tensor(2.0002, grad_fn=<DivBackward0>)
tensor(2.2798, grad_fn=<DivBackward0>)
tensor(2.3384, grad_fn=<DivBackward0>)
tensor(2.1241, grad_fn=<DivBackward0>)
tensor(2.2443, grad_fn=<DivBackward0>)
tensor(1.9508, grad_fn=<DivBackward0>)
tensor(2.1177, grad_fn=<DivBackward0>)
tensor(1.8986, grad_fn=<DivBackward0>)
tensor(2.1660, grad_fn=<DivBackward0>)
tensor(1.9330, grad_fn=<DivBackward0>)
tensor(2.2373, grad_fn=<DivBackward0>)
tensor(1.8719, grad_fn=<DivBackward0>)
tensor(2.5000, grad_fn=<DivBackward0>)
tensor(2.2290, grad_fn=<DivBackward0>)
tensor(2.2936, grad_fn=<DivBackward0>)
tensor(2.1866, grad_fn=<DivBackward0>)
tensor(2.6359, grad_fn=<DivBackward0>)
tensor(1.9940, grad_fn=<DivBackward0>)
tensor(2.7926, grad_fn=<DivBackward0>)
tensor(1.8919, grad_fn=<DivBackward0>)
tensor(3.0147, grad_fn=<DivBackward0>)
tensor(1.9406, grad_fn=<DivBackward0>)
tensor(2.9909, grad_fn=<DivBackward0>)
tensor(1.8014, grad_fn=<DivBackward0>)
tensor(2.9459, grad_fn=<DivBackward0>)
tensor(1.5323, grad_fn=<DivBackward0>)
tensor(2.7520, grad_fn=<DivBackward0>)
tensor(1.8627, grad_fn=<DivBackward0>)
tensor(3.2527, grad_fn=<DivBackward0>)
